[filename], [gate], [angular_velocity_min], [angular_velocity_max], [time_min], [time_max]
1.2_positions.xlsx,HandLeft y (mm),-1.36,1.59,8078.09,7373.8
1.2_positions.xlsx,HandLeft z (mm),-1.28,0.75,8307.75,4934.31
1.2_positions.xlsx,ShoulderRight x (mm),-0.48,0.33,6873.66,4913.89
1.2_positions.xlsx,ShoulderRight y (mm),-0.34,0.55,8185.27,8813.01
1.2_positions.xlsx,ShoulderRight z (mm),-0.21,0.17,8103.61,8802.8
1.2_positions.xlsx,ElbowRight x (mm),-1.76,1.26,7506.5,7445.25
1.2_positions.xlsx,ElbowRight y (mm),-1.02,0.91,8001.54,7440.15
1.2_positions.xlsx,ElbowRight z (mm),-0.36,0.45,8078.09,7506.5
1.2_positions.xlsx,WristRight x (mm),-1.19,1.15,7608.57,7103.32
1.2_positions.xlsx,WristRight y (mm),-1.47,1.86,8001.54,7205.39
1.2_positions.xlsx,WristRight z (mm),-0.77,1.12,9935.79,7205.39
1.2_positions.xlsx,HandRight x (mm),-0.58,1.49,8374.1,7098.21
1.2_positions.xlsx,HandRight y (mm),-1.47,1.45,8078.09,7302.35
1.2_positions.xlsx,HandRight z (mm),-0.83,0.89,9935.79,9976.62
1.2_positions.xlsx,HipLeft x (mm),-0.29,0.24,7465.67,8471.07
1.2_positions.xlsx,HipLeft y (mm),-0.25,0.49,8083.2,8802.8
1.2_positions.xlsx,HipLeft z (mm),-0.15,0.21,8083.2,4975.13
1.2_positions.xlsx,KneeLeft x (mm),-1.27,1.9,5970.33,5771.29
1.2_positions.xlsx,KneeLeft y (mm),-0.96,1.11,6511.3,7241.11
1.2_positions.xlsx,KneeLeft z (mm),-0.31,0.53,8006.64,8976.32
1.2_positions.xlsx,AnkleLeft x (mm),-1.93,1.88,6006.05,5771.29
1.2_positions.xlsx,AnkleLeft y (mm),-1.86,1.13,6511.3,8537.41
1.2_positions.xlsx,AnkleLeft z (mm),-0.66,0.59,6097.92,6638.89
1.2_positions.xlsx,FootLeft x (mm),-2.87,3.17,4883.27,5771.29
1.2_positions.xlsx,FootLeft y (mm),-3.19,2.97,65.52,7940.3
1.2_positions.xlsx,FootLeft z (mm),-1.88,2.01,5067.0,8904.87
1.2_positions.xlsx,HipRight x (mm),-0.28,0.23,7460.56,8343.48
1.2_positions.xlsx,HipRight y (mm),-0.25,0.47,8078.09,8797.69
1.2_positions.xlsx,HipRight z (mm),-0.18,0.18,8078.09,7271.73
1.2_positions.xlsx,KneeRight x (mm),-1.3,1.1,4668.92,3862.56
1.2_positions.xlsx,KneeRight y (mm),-1.58,1.96,7179.87,7307.46
1.2_positions.xlsx,KneeRight z (mm),-0.62,0.38,7807.61,8981.42
1.2_positions.xlsx,AnkleRight x (mm),-2.01,1.96,3704.35,7174.77
1.2_positions.xlsx,AnkleRight y (mm),-1.8,1.81,7970.92,7312.56
1.2_positions.xlsx,AnkleRight z (mm),-0.74,0.53,7179.87,3576.76
1.2_positions.xlsx,FootRight x (mm),-2.15,2.17,106.35,5970.33
1.2_positions.xlsx,FootRight y (mm),-2.22,1.9,8134.23,8175.06
1.2_positions.xlsx,FootRight z (mm),-2.33,2.48,8833.42,8879.35
1.2_positions.xlsx,SpineShoulder x (mm),-0.39,0.55,6858.35,4903.68
1.2_positions.xlsx,SpineShoulder y (mm),-0.35,0.5,8072.99,8792.59
1.2_positions.xlsx,SpineShoulder z (mm),-0.24,0.18,8072.99,2974.54
1.2_positions.xlsx,HandTipLeft x (mm),-2.32,2.07,7098.21,8266.93
1.2_positions.xlsx,HandTipLeft y (mm),-1.58,2.33,8272.03,7368.7
1.2_positions.xlsx,HandTipLeft z (mm),-0.93,0.97,8705.83,8741.56
1.2_positions.xlsx,ThumbLeft x (mm),-2.66,2.51,7440.15,3076.61
1.2_positions.xlsx,ThumbLeft y (mm),-3.1,3.49,8180.17,2474.39
1.2_positions.xlsx,ThumbLeft z (mm),-2.89,1.91,7006.35,4837.34
1.2_positions.xlsx,HandTipRight x (mm),-0.7,1.92,6792.0,7082.9
1.2_positions.xlsx,HandTipRight y (mm),-1.51,1.86,8175.06,7302.35
1.2_positions.xlsx,HandTipRight z (mm),-1.28,1.0,8175.06,7205.39
1.2_positions.xlsx,ThumbRight x (mm),-2.21,2.47,3474.69,7338.08
1.2_positions.xlsx,ThumbRight y (mm),-2.9,3.16,9170.25,4500.5
1.2_positions.xlsx,ThumbRight z (mm),-3.6,4.16,2673.43,6710.34
1.3_positions.xlsx,SpineBase x (mm),-2.84,2.6,4471.29,3002.59
1.3_positions.xlsx,SpineBase y (mm),-1.15,1.37,4230.39,4700.53
1.3_positions.xlsx,SpineBase z (mm),-1.19,1.07,4700.53,4401.35
1.3_positions.xlsx,SpineMid x (mm),-2.19,1.99,4467.4,3002.59
1.3_positions.xlsx,SpineMid y (mm),-0.79,1.03,4230.39,4537.34
1.3_positions.xlsx,SpineMid z (mm),-0.47,0.43,4704.42,4409.12
1.3_positions.xlsx,Neck x (mm),-1.67,1.08,4440.21,3018.13
1.3_positions.xlsx,Neck y (mm),-0.71,0.63,4172.11,3266.8
1.3_positions.xlsx,Neck z (mm),-0.29,0.35,3022.02,4440.21
1.3_positions.xlsx,Head x (mm),-1.34,0.81,4366.38,3235.72
1.3_positions.xlsx,Head y (mm),-0.64,0.61,4172.11,4514.03
1.3_positions.xlsx,Head z (mm),-0.31,0.3,2637.36,4510.14
1.3_positions.xlsx,ShoulderLeft x (mm),-2.24,1.19,4370.27,3134.7
1.3_positions.xlsx,ShoulderLeft y (mm),-1.38,0.69,4207.08,4704.42
1.3_positions.xlsx,ShoulderLeft z (mm),-0.35,0.57,4106.06,4370.27
1.3_positions.xlsx,ElbowLeft x (mm),-3.5,2.25,4436.32,3208.52
1.3_positions.xlsx,ElbowLeft y (mm),-2.13,1.4,4234.28,3290.12
1.3_positions.xlsx,ElbowLeft z (mm),-0.85,1.52,1774.79,2140.02
1.3_positions.xlsx,WristLeft x (mm),-2.6,2.33,4350.84,3305.66
1.3_positions.xlsx,WristLeft y (mm),-3.4,2.15,4141.03,3154.13
1.3_positions.xlsx,WristLeft z (mm),-1.42,2.83,1588.29,2244.93
1.3_positions.xlsx,HandLeft x (mm),-2.25,1.92,4346.96,3305.66
1.3_positions.xlsx,HandLeft y (mm),-2.53,1.82,4156.57,3208.52
1.3_positions.xlsx,HandLeft z (mm),-1.36,2.19,2571.31,2307.1
1.3_positions.xlsx,ShoulderRight x (mm),-2.1,0.79,4374.15,3107.5
1.3_positions.xlsx,ShoulderRight y (mm),-0.83,1.3,5469.85,4611.17
1.3_positions.xlsx,ShoulderRight z (mm),-0.38,0.45,2703.41,4607.28
1.3_positions.xlsx,ElbowRight x (mm),-2.75,1.59,4704.42,2536.34
1.3_positions.xlsx,ElbowRight y (mm),-1.92,1.81,5310.55,4517.92
1.3_positions.xlsx,ElbowRight z (mm),-0.83,0.68,1549.44,2070.09
1.3_positions.xlsx,WristRight x (mm),-2.47,2.47,4832.64,1813.65
1.3_positions.xlsx,WristRight y (mm),-2.38,2.68,5341.63,4514.03
1.3_positions.xlsx,WristRight z (mm),-2.45,2.3,2039.0,2136.14
1.3_positions.xlsx,HandRight x (mm),-2.07,2.09,4902.57,1937.98
1.3_positions.xlsx,HandRight y (mm),-2.54,3.1,5485.39,4537.34
1.3_positions.xlsx,HandRight z (mm),-1.35,1.21,5605.84,2307.1
1.3_positions.xlsx,HipLeft x (mm),-2.67,2.78,4471.29,3002.59
1.3_positions.xlsx,HipLeft y (mm),-1.66,1.3,4234.28,4537.34
1.3_positions.xlsx,HipLeft z (mm),-0.89,1.2,4700.53,4401.35
1.3_positions.xlsx,KneeLeft x (mm),-1.31,1.09,4440.21,3771.91
1.3_positions.xlsx,KneeLeft y (mm),-0.81,1.12,4005.04,3771.91
1.3_positions.xlsx,KneeLeft z (mm),-0.52,0.97,4001.15,4700.53
1.3_positions.xlsx,AnkleLeft x (mm),-0.97,1.18,3437.76,3740.83
1.3_positions.xlsx,AnkleLeft y (mm),-0.79,0.96,4634.48,2936.54
1.3_positions.xlsx,AnkleLeft z (mm),-0.48,0.97,4568.43,4700.53
1.3_positions.xlsx,FootLeft x (mm),-1.0,1.15,3437.76,3740.83
1.3_positions.xlsx,FootLeft y (mm),-2.23,1.81,4168.23,2004.03
1.3_positions.xlsx,FootLeft z (mm),-2.24,2.32,1238.6,6103.18
1.3_positions.xlsx,HipRight x (mm),-3.21,2.34,4638.36,3002.59
1.3_positions.xlsx,HipRight y (mm),-0.75,1.99,4207.08,4700.53
1.3_positions.xlsx,HipRight z (mm),-1.31,0.9,4700.53,4405.24
1.3_positions.xlsx,KneeRight x (mm),-1.16,1.17,4704.42,2007.92
1.3_positions.xlsx,KneeRight y (mm),-1.74,1.58,4832.64,5135.7
1.3_positions.xlsx,KneeRight z (mm),-0.96,1.18,4432.44,2031.23
1.3_positions.xlsx,AnkleRight x (mm),-1.61,1.48,5310.55,2081.74
1.3_positions.xlsx,AnkleRight y (mm),-2.03,1.13,5372.71,4634.48
1.3_positions.xlsx,AnkleRight z (mm),-1.54,1.67,1153.12,2136.14
1.3_positions.xlsx,FootRight x (mm),-2.93,3.19,6833.64,6476.18
1.3_positions.xlsx,FootRight y (mm),-3.36,1.81,5368.83,2781.12
1.3_positions.xlsx,FootRight z (mm),-2.56,2.51,1102.61,5866.16
1.3_positions.xlsx,SpineShoulder x (mm),-1.59,1.35,4444.09,3006.48
1.3_positions.xlsx,SpineShoulder y (mm),-0.69,0.73,4238.16,4537.34
1.3_positions.xlsx,SpineShoulder z (mm),-0.22,0.35,2691.76,4440.21
1.3_positions.xlsx,HandTipLeft x (mm),-2.31,2.16,4346.96,3305.66
1.3_positions.xlsx,HandTipLeft y (mm),-2.71,2.19,4242.05,3282.34
1.3_positions.xlsx,HandTipLeft z (mm),-1.28,1.25,4238.16,2307.1
1.3_positions.xlsx,ThumbLeft x (mm),-2.42,2.79,2011.8,3507.7
1.3_positions.xlsx,ThumbLeft y (mm),-2.98,3.12,4238.16,3239.6
1.3_positions.xlsx,ThumbLeft z (mm),-1.83,2.3,865.6,38.0
1.3_positions.xlsx,HandTipRight x (mm),-2.31,2.82,4902.57,4638.36
1.3_positions.xlsx,HandTipRight y (mm),-2.77,3.03,5481.51,4545.11
1.3_positions.xlsx,HandTipRight z (mm),-1.43,1.68,5621.38,4634.48
1.3_positions.xlsx,ThumbRight x (mm),-3.76,2.66,4902.57,1934.1
1.3_positions.xlsx,ThumbRight y (mm),-2.85,3.3,5337.74,4537.34
1.3_positions.xlsx,ThumbRight z (mm),-3.63,3.32,7241.61,7198.87
1.4_positions.xlsx,SpineBase x (mm),-0.26,0.36,5412.31,1314.13
1.4_positions.xlsx,SpineBase y (mm),-1.06,1.02,4612.76,3474.79
1.4_positions.xlsx,SpineBase z (mm),-1.61,1.44,5412.31,2980.18
1.4_positions.xlsx,SpineMid x (mm),-0.14,0.19,3318.6,1317.85
1.4_positions.xlsx,SpineMid y (mm),-0.94,0.85,4478.88,3415.29
1.4_positions.xlsx,SpineMid z (mm),-0.44,0.42,5416.03,4616.48
1.4_positions.xlsx,Neck x (mm),-0.2,0.21,3314.88,2083.93
1.4_positions.xlsx,Neck y (mm),-0.98,0.94,4478.88,3419.01
1.4_positions.xlsx,Neck z (mm),-0.28,0.28,4545.82,5181.74
1.4_positions.xlsx,Head x (mm),-0.14,0.17,3348.35,2701.27
1.4_positions.xlsx,Head y (mm),-0.83,1.12,4490.04,3415.29
1.4_positions.xlsx,Head z (mm),-0.4,0.25,4385.91,5178.03
1.4_positions.xlsx,ShoulderLeft x (mm),-0.15,0.23,719.11,1310.41
1.4_positions.xlsx,ShoulderLeft y (mm),-1.2,0.97,4478.88,3445.04
1.4_positions.xlsx,ShoulderLeft z (mm),-0.18,0.22,4415.66,5181.74
1.4_positions.xlsx,ElbowLeft x (mm),-0.53,0.25,879.02,1280.66
1.4_positions.xlsx,ElbowLeft y (mm),-1.19,1.34,4512.35,5111.09
1.4_positions.xlsx,ElbowLeft z (mm),-0.33,0.41,3009.93,5111.09
1.4_positions.xlsx,WristLeft x (mm),-0.67,0.71,849.27,1377.35
1.4_positions.xlsx,WristLeft y (mm),-1.71,2.16,2310.79,3445.04
1.4_positions.xlsx,WristLeft z (mm),-0.95,1.02,4445.41,2347.97
1.4_positions.xlsx,HandLeft x (mm),-1.1,0.77,5378.84,2180.63
1.4_positions.xlsx,HandLeft y (mm),-1.17,1.25,4516.07,3448.76
1.4_positions.xlsx,HandLeft z (mm),-1.28,1.25,2310.79,2347.97
1.4_positions.xlsx,ShoulderRight x (mm),-0.22,0.25,841.84,2701.27
1.4_positions.xlsx,ShoulderRight y (mm),-1.11,1.8,4530.94,5181.74
1.4_positions.xlsx,ShoulderRight z (mm),-0.23,0.5,4542.1,5181.74
1.4_positions.xlsx,ElbowRight x (mm),-0.32,0.32,3679.33,1314.13
1.4_positions.xlsx,ElbowRight y (mm),-0.87,1.59,4452.85,3348.35
1.4_positions.xlsx,ElbowRight z (mm),-0.36,0.46,2009.56,3352.07
1.4_positions.xlsx,WristRight x (mm),-0.67,0.42,912.49,2779.36
1.4_positions.xlsx,WristRight y (mm),-1.56,1.62,4813.58,3452.48
1.4_positions.xlsx,WristRight z (mm),-0.68,0.99,4817.3,3683.04
1.4_positions.xlsx,HandRight x (mm),-0.33,0.36,5274.72,1384.79
1.4_positions.xlsx,HandRight y (mm),-0.86,0.97,4549.54,3448.76
1.4_positions.xlsx,HandRight z (mm),-0.37,0.65,4460.29,916.21
1.4_positions.xlsx,HipLeft x (mm),-0.24,0.36,5416.03,1317.85
1.4_positions.xlsx,HipLeft y (mm),-1.06,0.86,4612.76,3467.35
1.4_positions.xlsx,HipLeft z (mm),-1.59,1.44,3645.86,2980.18
1.4_positions.xlsx,KneeLeft x (mm),-0.71,0.76,4649.95,5438.35
1.4_positions.xlsx,KneeLeft y (mm),-2.17,1.03,2712.42,3009.93
1.4_positions.xlsx,KneeLeft z (mm),-0.43,0.36,4374.75,5419.75
1.4_positions.xlsx,AnkleLeft x (mm),-1.01,1.13,1879.4,2671.51
1.4_positions.xlsx,AnkleLeft y (mm),-1.77,0.8,2712.42,1808.74
1.4_positions.xlsx,AnkleLeft z (mm),-0.44,0.38,4374.75,5416.03
1.4_positions.xlsx,FootLeft x (mm),-1.2,1.12,741.43,2671.51
1.4_positions.xlsx,FootLeft y (mm),-1.82,1.45,741.43,778.62
1.4_positions.xlsx,FootLeft z (mm),-2.18,2.33,1016.62,972.0
1.4_positions.xlsx,HipRight x (mm),-0.27,0.42,5412.31,1317.85
1.4_positions.xlsx,HipRight y (mm),-1.0,1.18,4445.41,3474.79
1.4_positions.xlsx,HipRight z (mm),-1.7,1.44,5412.31,2980.18
1.4_positions.xlsx,KneeRight x (mm),-1.67,0.77,5445.78,4642.51
1.4_positions.xlsx,KneeRight y (mm),-2.77,1.64,5445.78,4646.23
1.4_positions.xlsx,KneeRight z (mm),-0.45,0.71,756.3,5416.03
1.4_positions.xlsx,AnkleRight x (mm),-1.05,0.74,4330.13,975.71
1.4_positions.xlsx,AnkleRight y (mm),-1.6,1.56,5445.78,2909.52
1.4_positions.xlsx,AnkleRight z (mm),-0.6,0.68,2909.52,5416.03
1.4_positions.xlsx,FootRight x (mm),-1.07,1.5,5449.5,5512.72
1.4_positions.xlsx,FootRight y (mm),-1.57,2.03,5445.78,849.27
1.4_positions.xlsx,FootRight z (mm),-2.51,2.31,845.55,5512.72
1.4_positions.xlsx,SpineShoulder x (mm),-0.2,0.21,3318.6,2083.93
1.4_positions.xlsx,SpineShoulder y (mm),-0.97,0.91,4478.88,3419.01
1.4_positions.xlsx,SpineShoulder z (mm),-0.22,0.25,4545.82,5181.74
1.4_positions.xlsx,HandTipLeft x (mm),-1.47,1.22,2013.28,2180.63
1.4_positions.xlsx,HandTipLeft y (mm),-1.12,1.12,2180.63,2013.28
1.4_positions.xlsx,HandTipLeft z (mm),-0.79,0.75,4516.07,6208.15
1.4_positions.xlsx,ThumbLeft x (mm),-2.32,2.95,1180.25,6654.41
1.4_positions.xlsx,ThumbLeft y (mm),-3.19,2.18,2214.1,3448.76
1.4_positions.xlsx,ThumbLeft z (mm),-2.84,6.0,6617.22,6654.41
1.4_positions.xlsx,HandTipRight x (mm),-0.55,0.42,5613.13,5780.48
1.4_positions.xlsx,HandTipRight y (mm),-0.76,0.92,4482.6,3474.79
1.4_positions.xlsx,HandTipRight z (mm),-0.64,0.69,5323.06,5278.44
1.4_positions.xlsx,ThumbRight x (mm),-1.5,1.61,5085.05,4776.39
1.4_positions.xlsx,ThumbRight y (mm),-2.23,2.57,3277.69,3452.48
1.4_positions.xlsx,ThumbRight z (mm),-3.87,3.06,1448.01,1150.5
1.5_positions.xlsx,SpineBase x (mm),-0.46,0.35,4016.18,3969.49
1.5_positions.xlsx,SpineBase y (mm),-2.19,2.33,3749.37,3952.82
1.5_positions.xlsx,SpineBase z (mm),-1.46,1.65,4009.51,3145.71
1.5_positions.xlsx,SpineMid x (mm),-0.25,0.29,4012.85,2348.6
1.5_positions.xlsx,SpineMid y (mm),-2.1,2.18,3752.71,3956.15
1.5_positions.xlsx,SpineMid z (mm),-0.57,0.59,3375.83,2548.71
1.5_positions.xlsx,Neck x (mm),-0.34,0.33,2308.58,2348.6
1.5_positions.xlsx,Neck y (mm),-2.01,2.22,3756.04,2552.05
1.5_positions.xlsx,Neck z (mm),-0.85,0.89,2361.94,2555.38
1.5_positions.xlsx,Head x (mm),-0.12,0.2,1081.24,3245.76
1.5_positions.xlsx,Head y (mm),-2.02,2.21,3749.37,3956.15
1.5_positions.xlsx,Head z (mm),-0.6,0.97,4333.03,1941.71
1.5_positions.xlsx,ShoulderLeft x (mm),-0.25,0.33,3812.74,4403.06
1.5_positions.xlsx,ShoulderLeft y (mm),-2.27,2.21,3746.04,3959.49
1.5_positions.xlsx,ShoulderLeft z (mm),-0.53,0.77,3018.97,2608.74
1.5_positions.xlsx,ElbowLeft x (mm),-1.83,1.42,3929.47,3979.5
1.5_positions.xlsx,ElbowLeft y (mm),-2.69,2.92,2375.28,2552.05
1.5_positions.xlsx,ElbowLeft z (mm),-0.61,1.24,4576.49,4783.27
1.5_positions.xlsx,WristLeft x (mm),-1.6,1.88,3922.8,4049.54
1.5_positions.xlsx,WristLeft y (mm),-3.35,3.8,4446.42,2602.07
1.5_positions.xlsx,WristLeft z (mm),-1.63,2.18,4449.76,2742.15
1.5_positions.xlsx,HandLeft x (mm),-1.79,1.46,2465.33,4413.07
1.5_positions.xlsx,HandLeft y (mm),-3.3,3.65,4366.38,4026.19
1.5_positions.xlsx,HandLeft z (mm),-1.52,1.43,4359.71,2708.8
1.5_positions.xlsx,ShoulderRight x (mm),-0.44,0.42,3008.96,2565.39
1.5_positions.xlsx,ShoulderRight y (mm),-2.29,2.38,3759.38,3282.45
1.5_positions.xlsx,ShoulderRight z (mm),-0.6,0.62,4333.03,2585.4
1.5_positions.xlsx,ElbowRight x (mm),-1.28,1.87,1744.94,2638.76
1.5_positions.xlsx,ElbowRight y (mm),-2.84,2.97,1744.94,2608.74
1.5_positions.xlsx,ElbowRight z (mm),-1.04,1.12,4506.45,1948.38
1.5_positions.xlsx,WristRight x (mm),-2.15,1.94,3976.16,2638.76
1.5_positions.xlsx,WristRight y (mm),-2.89,3.64,3749.37,2605.41
1.5_positions.xlsx,WristRight z (mm),-1.26,1.63,2942.26,4779.94
1.5_positions.xlsx,HandRight x (mm),-1.48,2.02,4343.03,2502.02
1.5_positions.xlsx,HandRight y (mm),-3.02,3.4,3749.37,2608.74
1.5_positions.xlsx,HandRight z (mm),-1.3,1.24,4379.72,2672.11
